year,country,fire_count
2000,Algeria,
2001,Algeria,
2002,Algeria,
2003,Algeria,
2004,Algeria,
2005,Algeria,
2006,Algeria,
2007,Algeria,
2008,Algeria,
2009,Algeria,
2010,Algeria,
2011,Algeria,2487.0
2012,Algeria,5110.0
2013,Algeria,2443.0
2014,Algeria,4629.0
2015,Algeria,2383.0
2016,Algeria,3150.0
2017,Algeria,2992.0
2018,Algeria,797.0
2019,Algeria,2278.0
2020,Algeria,3493.0
2021,Algeria,1631.0
2022,Algeria,1607.0
2023,Algeria,
2000,Cyprus,285.0
2001,Cyprus,299.0
2002,Cyprus,243.0
2003,Cyprus,427.0
2004,Cyprus,221.0
2005,Cyprus,185.0
2006,Cyprus,172.0
2007,Cyprus,111.0
2008,Cyprus,114.0
2009,Cyprus,91.0
2010,Cyprus,133.0
2011,Cyprus,85.0
2012,Cyprus,78.0
2013,Cyprus,135.0
2014,Cyprus,68.0
2015,Cyprus,87.0
2016,Cyprus,119.0
2017,Cyprus,92.0
2018,Cyprus,131.0
2019,Cyprus,99.0
2020,Cyprus,108.0
2021,Cyprus,111.0
2022,Cyprus,89.0
2023,Cyprus,131.0
2000,France,4603.0
2001,France,4309.0
2002,France,4097.0
2003,France,7023.0
2004,France,3775.0
2005,France,4698.0
2006,France,3231.0
2007,France,2690.0
2008,France,1801.0
2009,France,3013.0
2010,France,2443.0
2011,France,2774.0
2012,France,2763.0
2013,France,1510.0
2014,France,1730.0
2015,France,2898.0
2016,France,2775.0
2017,France,3220.0
2018,France,1634.0
2019,France,2949.0
2020,France,2760.0
2021,France,2332.0
2022,France,4215.0
2023,France,2666.0
2000,Greece,2581.0
2001,Greece,2535.0
2002,Greece,1141.0
2003,Greece,1452.0
2004,Greece,1748.0
2005,Greece,1544.0
2006,Greece,1417.0
2007,Greece,1983.0
2008,Greece,1481.0
2009,Greece,1063.0
2010,Greece,1052.0
2011,Greece,1613.0
2012,Greece,1559.0
2013,Greece,862.0
2014,Greece,552.0
2015,Greece,510.0
2016,Greece,777.0
2017,Greece,1083.0
2018,Greece,793.0
2019,Greece,657.0
2020,Greece,1060.0
2021,Greece,1250.0
2022,Greece,962.0
2023,Greece,941.0
2000,Italy,8595.0
2001,Italy,7134.0
2002,Italy,4601.0
2003,Italy,9697.0
2004,Italy,6428.0
2005,Italy,7951.0
2006,Italy,5634.0
2007,Italy,10639.0
2008,Italy,6486.0
2009,Italy,5422.0
2010,Italy,4884.0
2011,Italy,8181.0
2012,Italy,8252.0
2013,Italy,2936.0
2014,Italy,3257.0
2015,Italy,5442.0
2016,Italy,5818.0
2017,Italy,7855.0
2018,Italy,3220.0
2019,Italy,4351.0
2020,Italy,4865.0
2021,Italy,5989.0
2022,Italy,6529.0
2023,Italy,4265.0
2000,Lebanon,
2001,Lebanon,
2002,Lebanon,
2003,Lebanon,
2004,Lebanon,
2005,Lebanon,
2006,Lebanon,
2007,Lebanon,
2008,Lebanon,
2009,Lebanon,
2010,Lebanon,
2011,Lebanon,
2012,Lebanon,
2013,Lebanon,
2014,Lebanon,
2015,Lebanon,107.0
2016,Lebanon,260.0
2017,Lebanon,92.0
2018,Lebanon,41.0
2019,Lebanon,194.0
2020,Lebanon,251.0
2021,Lebanon,131.0
2022,Lebanon,22.0
2023,Lebanon,23.0
2000,Portugal,34109.0
2001,Portugal,28915.0
2002,Portugal,28993.0
2003,Portugal,28087.0
2004,Portugal,27829.0
2005,Portugal,41689.0
2006,Portugal,24243.0
2007,Portugal,25133.0
2008,Portugal,18958.0
2009,Portugal,29783.0
2010,Portugal,26113.0
2011,Portugal,29782.0
2012,Portugal,25352.0
2013,Portugal,23129.0
2014,Portugal,9388.0
2015,Portugal,19643.0
2016,Portugal,16104.0
2017,Portugal,21006.0
2018,Portugal,12274.0
2019,Portugal,10832.0
2020,Portugal,9619.0
2021,Portugal,8186.0
2022,Portugal,10390.0
2023,Portugal,7523.0
2000,Spain,24118.0
2001,Spain,19547.0
2002,Spain,19929.0
2003,Spain,18616.0
2004,Spain,21396.0
2005,Spain,25492.0
2006,Spain,16354.0
2007,Spain,10936.0
2008,Spain,11655.0
2009,Spain,15643.0
2010,Spain,11721.0
2011,Spain,16414.0
2012,Spain,17503.0
2013,Spain,10626.0
2014,Spain,9771.0
2015,Spain,11928.0
2016,Spain,8817.0
2017,Spain,13793.0
2018,Spain,7143.0
2019,Spain,10883.0
2020,Spain,7745.0
2021,Spain,8780.0
2022,Spain,10507.0
2023,Spain,7748.0
2000,Turkey,2555.0
2001,Turkey,2631.0
2002,Turkey,1471.0
2003,Turkey,2177.0
2004,Turkey,1762.0
2005,Turkey,1530.0
2006,Turkey,2227.0
2007,Turkey,2829.0
2008,Turkey,2135.0
2009,Turkey,1793.0
2010,Turkey,1861.0
2011,Turkey,1954.0
2012,Turkey,2450.0
2013,Turkey,3755.0
2014,Turkey,2149.0
2015,Turkey,2150.0
2016,Turkey,3188.0
2017,Turkey,2411.0
2018,Turkey,2167.0
2019,Turkey,2688.0
2020,Turkey,3399.0
2021,Turkey,2793.0
2022,Turkey,2160.0
2023,Turkey,2579.0
