year,country,burned_ratio
2000,Algeria,
2001,Algeria,
2002,Algeria,
2003,Algeria,
2004,Algeria,
2005,Algeria,
2006,Algeria,
2007,Algeria,
2008,Algeria,
2009,Algeria,
2010,Algeria,
2011,Algeria,0.7059098462816784
2012,Algeria,5.124198220566935
2013,Algeria,0.6902308326463314
2014,Algeria,2.2133545473208787
2015,Algeria,0.6651329243353783
2016,Algeria,0.9391615541922291
2017,Algeria,2.777920741121976
2018,Algeria,0.11979274611398963
2019,Algeria,1.085507993811243
2020,Algeria,2.2533606977937404
2021,Algeria,5.11241062308478
2022,Algeria,1.4067581300813008
2023,Algeria,
2000,Cyprus,4.681545364489248
2001,Cyprus,2.812505459055627
2002,Cyprus,1.277813983800391
2003,Cyprus,1.3658644369370678
2004,Cyprus,0.7077198405596681
2005,Cyprus,1.0672085934097837
2006,Cyprus,0.6730568384895677
2007,Cyprus,2.5992775597056896
2008,Cyprus,1.3859114453573125
2009,Cyprus,0.5123988953027206
2010,Cyprus,1.157139551029854
2011,Cyprus,0.92527225803465
2012,Cyprus,1.4648007963515985
2013,Cyprus,1.6409858649471527
2014,Cyprus,0.3872962208225269
2015,Cyprus,0.37751143535406173
2016,Cyprus,1.856786976420833
2017,Cyprus,0.24798655773799178
2018,Cyprus,0.658283595062873
2019,Cyprus,0.42480440452042884
2020,Cyprus,0.7563901930099113
2021,Cyprus,3.8328212857225665
2022,Cyprus,0.39712447098382514
2023,Cyprus,1.284861135269902
2000,France,0.1574960753532182
2001,France,0.13402938751128166
2002,France,0.19440254734372384
2003,France,0.4689101764220307
2004,France,0.08710706208228508
2005,France,0.13962216545242376
2006,France,0.04400435909962046
2007,France,0.043887634719553224
2008,France,0.029087001630354232
2009,France,0.08961173562943474
2010,France,0.05191546379194835
2011,France,0.041206127593562146
2012,France,0.04572586188185074
2013,France,0.016407506059079018
2014,France,0.02826426942683524
2015,France,0.04852102637205987
2016,France,0.08334219889594194
2017,France,0.13581880631425414
2018,France,0.023059545129987945
2019,France,0.07800997111173237
2020,France,0.06214571378890628
2021,France,0.073711958653469
2022,France,0.3336605471934236
2023,France,0.03062868504044975
2000,Greece,4.028437519651525
2001,Greece,0.5019024280855575
2002,Greece,0.16426518864967704
2003,Greece,0.09529353443258592
2004,Greece,0.2759309073523077
2005,Greece,0.17160682559550594
2006,Greece,0.3348431291279512
2007,Greece,5.922707841433872
2008,Greece,0.758872544268845
2009,Greece,0.9128417923158618
2010,Greece,0.22981683083436044
2011,Greece,0.7469367366830155
2012,Greece,1.5358028070612484
2013,Greece,1.1962674691674593
2014,Greece,0.6624117106886227
2015,Greece,0.1818646405264438
2016,Greece,0.6801988825670203
2017,Greece,0.34325183248756985
2018,Greece,0.39632989902096466
2019,Greece,0.23458403813624482
2020,Greece,0.23835153006304782
2021,Greece,2.778666256599518
2022,Greece,0.48200830385975707
2023,Greece,3.4983597314060177
2000,Italy,1.3698718523165156
2001,Italy,0.9060560899542852
2002,Italy,0.47983721459855116
2003,Italy,1.0716261344406668
2004,Italy,0.6970651121552467
2005,Italy,0.5469242623420084
2006,Italy,0.45576918951902007
2007,Italy,2.5789196710501208
2008,Italy,0.7455811315333755
2009,Italy,0.818496788888305
2010,Italy,0.5154717967576572
2011,Italy,0.7928342337374508
2012,Italy,1.4319059299080439
2013,Italy,0.3164058317220678
2014,Italy,0.3908248074924118
2015,Italy,0.44649502854659745
2016,Italy,0.7005001662943313
2017,Italy,1.7224047550692738
2018,Italy,0.20596267276769809
2019,Italy,0.37881400121106107
2020,Italy,0.581802672554105
2021,Italy,1.5796772121239842
2022,Italy,0.7411190076237241
2023,Italy,0.912931917150858
2000,Lebanon,
2001,Lebanon,
2002,Lebanon,
2003,Lebanon,
2004,Lebanon,
2005,Lebanon,
2006,Lebanon,
2007,Lebanon,
2008,Lebanon,
2009,Lebanon,
2010,Lebanon,
2011,Lebanon,
2012,Lebanon,
2013,Lebanon,
2014,Lebanon,
2015,Lebanon,0.5365923181073184
2016,Lebanon,1.327609451500745
2017,Lebanon,0.1865328905532396
2018,Lebanon,0.4524027298951664
2019,Lebanon,2.2104673159111607
2020,Lebanon,1.2914253819856276
2021,Lebanon,1.0477315361634127
2022,Lebanon,0.054659932194008165
2023,Lebanon,0.09095293874457383
2000,Portugal,4.86452301127705
2001,Portugal,3.58195296055642
2002,Portugal,3.995145334636053
2003,Portugal,14.416465482993612
2004,Portugal,4.629901510980608
2005,Portugal,10.614357875401806
2006,Portugal,2.564836377006986
2007,Portugal,1.1167234029502866
2008,Portugal,0.6107495856099208
2009,Portugal,2.830378813481213
2010,Portugal,4.334348093480934
2011,Portugal,2.3622549019607844
2012,Portugal,3.6014957264957266
2013,Portugal,4.877980535279805
2014,Portugal,0.6915151515151515
2015,Portugal,2.0289855072463765
2016,Portugal,5.066666666666666
2017,Portugal,16.301962560386475
2018,Portugal,1.3459541062801932
2019,Portugal,1.2706823671497585
2020,Portugal,2.0280797101449277
2021,Portugal,0.856280193236715
2022,Portugal,3.3241847826086954
2023,Portugal,1.0419685990338163
2000,Spain,1.1032337209758083
2001,Spain,0.5411950562765244
2002,Spain,0.6181700959468281
2003,Spain,0.8452793437384711
2004,Spain,0.759246629634772
2005,Spain,1.0589274134964044
2006,Spain,0.8647199386176594
2007,Spain,0.4755515997119148
2008,Spain,0.2756605867809349
2009,Spain,0.6526777237572268
2010,Spain,0.29533025547118574
2011,Spain,0.550836847561816
2012,Spain,1.219155434891142
2013,Spain,0.31799825369171253
2014,Spain,0.25186506617893295
2015,Spain,0.5562988446017989
2016,Spain,0.3547084273768488
2017,Spain,0.9603487200487087
2018,Spain,0.13554490268315558
2019,Spain,0.4521948655420005
2020,Spain,0.3549558290711317
2021,Spain,0.4730718339231479
2022,Spain,1.4420677313886683
2023,Spain,0.4792456728637657
2000,Turkey,0.13228378502458019
2001,Turkey,0.036528330476953585
2002,Turkey,0.041868089847327525
2003,Turkey,0.0325227623847526
2004,Turkey,0.023759587280960823
2005,Turkey,0.013683735926694758
2006,Turkey,0.03748094807000642
2007,Turkey,0.056069749922858424
2008,Turkey,0.14236604723151183
2009,Turkey,0.02229198479037745
2010,Turkey,0.016681623368122685
2011,Turkey,0.017043746181436434
2012,Turkey,0.04907997232931718
2013,Turkey,0.05350417805233957
2014,Turkey,0.014483624629057506
2015,Turkey,0.014881901776674387
2016,Turkey,0.04232950999292659
2017,Turkey,0.05512939685902192
2018,Turkey,0.025761855291769897
2019,Turkey,0.05135884294853782
2020,Turkey,0.09437740882685969
2021,Turkey,0.6234392010139272
2022,Turkey,0.056802749467876425
2023,Turkey,0.06840512051113434
